Year,District,Neighborhood,Gender,Number
2019,Centro,Centro,male,368
2019,Centro,Palacio,male,55
2019,Centro,Embajadores,male,137
2019,Centro,Cortes,male,35
2019,Centro,Justicia,male,47
2019,Centro,Universidad,male,78
2019,Centro,Sol,male,16
2019,Arganzuela,Arganzuela,male,438
2019,Arganzuela,Imperial,male,71
2019,Arganzuela,Acacias,male,120
2019,Arganzuela,Chopera,male,67
2019,Arganzuela,Legazpi,male,21
2019,Arganzuela,Delicias,male,73
2019,Arganzuela,Palos de la Frontera,male,83
2019,Arganzuela,Atocha,male,3
2019,Retiro,Retiro,male,425
2019,Retiro,Pacífico,male,111
2019,Retiro,Adelfas,male,45
2019,Retiro,Estrella,male,108
2019,Retiro,Ibiza,male,83
2019,Retiro,Los Jerónimos,male,32
2019,Retiro,Niño Jesús,male,46
2019,Salamanca,Salamanca,male,517
2019,Salamanca,Recoletos,male,48
2019,Salamanca,Goya,male,99
2019,Salamanca,Fuente del Berro,male,74
2019,Salamanca,Guindalera,male,180
2019,Salamanca,Lista,male,69
2019,Salamanca,Castellana,male,47
2019,Chamartín,Chamartín,male,509
2019,Chamartín,El Viso,male,66
2019,Chamartín,Prosperidad,male,149
2019,Chamartín,Ciudad Jardín,male,63
2019,Chamartín,Hispanoamérica,male,109
2019,Chamartín,Nueva España,male,75
2019,Chamartín,Castilla,male,47
2019,Tetuán,Tetuán,male,483
2019,Tetuán,Bellas Vistas,male,85
2019,Tetuán,Cuatro Caminos,male,122
2019,Tetuán,Castillejos,male,74
2019,Tetuán,Almenara,male,70
2019,Tetuán,Valdeacederas,male,62
2019,Tetuán,Berruguete,male,70
2019,Chamberí,Chamberí,male,514
2019,Chamberí,Gaztambide,male,105
2019,Chamberí,Arapiles,male,89
2019,Chamberí,Trafalgar,male,85
2019,Chamberí,Almagro,male,68
2019,Chamberí,Ríos Rosas,male,80
2019,Chamberí,Vallehermoso,male,87
2019,Fuencarral-ElPardo,Fuencarral-ElPardo,male,748
2019,Fuencarral-ElPardo,El Pardo,male,13
2019,Fuencarral-ElPardo,Fuentelarreina,male,13
