Year,Nationality,Number
2020,Rumanía,42833
2020,Venezuela,42240
2020,China,39541
2020,Colombia,34585
2020,Perú,28092
2020,Italia,26691
2020,Honduras,24500
2020,Ecuador,23531
2020,Marruecos,22922
2020,Paraguay,20507
2020,República Dominicana,17490
2020,Bolivia,13666
2020,Filipinas,13496
2020,Portugal,12237
2020,Francia,11098
2020,Brasil,10522
2020,Ucrania,9640
2020,Nicaragua,7930
2020,Estados Unidos,7920
2020,Bulgaria,7441
2020,Cuba,7225
2020,Reino Unido,7071
2020,Argentina,6722
2020,Bangladesh,6623
2020,México,5809
2020,Polonia,5556
2020,Alemania,5161
2020,El Salvador,4883
2020,Chile,2900
2020,Rusia,2833
2020,Senegal,2422
2020,India,2150
2020,Países Bajos,1803
2020,Pakistán,1570
2020,Guatemala,1530
2020,Nigeria,1427
2020,Georgia,1353
2020,Argelia,1256
2020,Irán,1232
2020,Irlanda,1217
2020,Mali,1179
2020,República de Corea,1171
2020,Japón,1167
2020,Uruguay,1074
2020,Bélgica,1011
2020,Moldavia,996
2020,Guinea Ecuatorial,954
2020,Siria,897
2020,Turquía,841
2020,Guinea,838
2020,Grecia,829
2020,Suecia,728
2020,Camerún,722
2020,Costa Rica,698
2020,Egipto,658
2020,Canadá,656
2020,Suiza,643
2020,Panamá,640
2020,Nepal,640
2020,Hungría,578
2020,Libia,540
2020,Armenia,533
2020,Austria,530
2020,Cabo Verde,489
2020,Iraq,475
2020,Costa de Marfil,461
2020,Ghana,401
2020,Túnez,373
2020,Líbano,368
2020,Australia,366
2020,Lituania,343
2020,Serbia,335
2020,Vietnam,333
2020,Arabia Saudita,329
2020,República Checa,325
2020,Albania,307
2020,Finlandia,301
2020,Guinea-Bisáu,296
2020,Dinamarca,294
2020,Croacia,289
2020,Indonesia,285
2020,Mauritania,283
2020,Israel,265
2020,Jordania,261
2020,Otros países de Asia,247
2020,República Eslovaca,238
2020,Angola,222
2020,Tailandia,217
2020,Belarús,205
2020,Noruega,201
2020,Gambia,192
2020,Mongolia,172
2020,Kenia,168
2020,Sudáfrica,166
2020,"Palestina. Estado Observador, no miembro de Naciones Unidas",154
2020,Letonia,150
2020,Eslovenia,149
2020,Congo,145
2020,Etiopía,145
2020,Afganistán,138
2020,Kazajstán,138
2020,Azerbaiyán,125
2020,Sudán,90
2020,Estonia,86
2020,Burkina Faso,81
2020,Bosnia y Herzegovina,80
2020,Sri Lanka,76
2020,República Democrática del Congo,72
2020,Yemen,72
2020,Mozambique,70
2020,Haití,70
2020,Malasia,69
2020,Chipre,66
2020,Nueva Zelanda,60
2020,Sierra Leona,54
2020,Singapur,52
2020,Jamaica,51
2020,Uzbekistán,47
2020,Somalia,44
2020,Togo,42
2020,Macedonia,40
2020,Eritrea,37
2020,Islandia,34
2020,Liberia,34
2020,Trinidad y Tobago,31
2020,Dominica,30
2020,Kirguistán,28
2020,Andorra,27
2020,Benín,27
2020,Ruanda,27
2020,Luxemburgo,26
2020,Madagascar,25
2020,Emiratos Árabes Unidos,24
2020,República Centroafricana,23
2020,Malta,22
2020,Burundi,21
2020,Gabón,21
2020,Tanzania,21
2020,Qatar,21
2020,Otros Países de Europa,20
2020,Uganda,20
2020,Zimbabwe,20
2020,Mauricio,19
2020,Níger,19
2020,Montenegro,18
2020,Kuwait,18
2020,Otros países de África,16
2020,Santo Tomé y Príncipe,12
2020,Malawi,11
2020,Myanmar,10
2020,San Cristóbal y Nieves,9
2020,Bahréin,8
2020,Turkmenistán,8
2020,Bahamas,7
2020,Camboya,7
2020,Tayikistán,7
2020,Barbados,6
2020,Granada,6
2020,Omán,6
2020,Comores,5
2020,Seychelles,5
2020,Zambia,5
2020,Guyana,5
2020,Chad,4
2020,Liechtenstein,3
2020,Djibouti,3
2020,Namibia,3
2020,Antigua y Barbuda,3
2020,Belice,3
2020,Santa Lucía,3
2020,Botswana,2
2020,Maldivas,2
2020,Samoa,2
2020,Mónaco,1
2020,Yugoslavia,1
2020,Sudán del Sur,1
2020,Laos,1
2020,República Popular Democrática de Corea,1
2020,Bután,1
2020,Fiji,1
