from,to,weight
Centro,Andalusia,741
Arganzuela,Andalusia,505
Retiro,Andalusia,377
Salamanca,Andalusia,557
Chamartín,Andalusia,492
Tetuán,Andalusia,611
Chamberí,Andalusia,758
Fuencarral-El Pardo,Andalusia,521
Moncloa-Aravaca,Andalusia,334
Latina,Andalusia,398
Carabanchel,Andalusia,518
Usera,Andalusia,230
Puente de Vallecas,Andalusia,453
Moratalaz,Andalusia,104
Ciudad Lineal,Andalusia,548
Hortaleza,Andalusia,419
Villaverde,Andalusia,261
Villa de Vallecas,Andalusia,243
Vicálvaro,Andalusia,123
San Blas-Canillejas,Andalusia,236
Barajas,Andalusia,80
Centro,Aragon,104
Arganzuela,Aragon,105
Retiro,Aragon,58
Salamanca,Aragon,88
Chamartín,Aragon,103
Tetuán,Aragon,86
Chamberí,Aragon,84
Fuencarral-El Pardo,Aragon,98
Moncloa-Aravaca,Aragon,47
Latina,Aragon,63
Carabanchel,Aragon,66
Usera,Aragon,48
Puente de Vallecas,Aragon,67
Moratalaz,Aragon,27
Ciudad Lineal,Aragon,102
Hortaleza,Aragon,80
Villaverde,Aragon,45
Villa de Vallecas,Aragon,41
Vicálvaro,Aragon,20
San Blas-Canillejas,Aragon,35
Barajas,Aragon,8
Centro,Asturias,161
Arganzuela,Asturias,86
Retiro,Asturias,61
Salamanca,Asturias,108
Chamartín,Asturias,94
Tetuán,Asturias,102
Chamberí,Asturias,146
Fuencarral-El Pardo,Asturias,85
Moncloa-Aravaca,Asturias,60
Latina,Asturias,57
Carabanchel,Asturias,51
Usera,Asturias,49
Puente de Vallecas,Asturias,41
Moratalaz,Asturias,19
Ciudad Lineal,Asturias,77
Hortaleza,Asturias,73
Villaverde,Asturias,18
Villa de Vallecas,Asturias,24
Vicálvaro,Asturias,15
San Blas-Canillejas,Asturias,40
Barajas,Asturias,16
Centro,Balearic Islands,176
Arganzuela,Balearic Islands,52
Retiro,Balearic Islands,57
Salamanca,Balearic Islands,108
Chamartín,Balearic Islands,90
Tetuán,Balearic Islands,91
Chamberí,Balearic Islands,98
Fuencarral-El Pardo,Balearic Islands,104
Moncloa-Aravaca,Balearic Islands,93
Latina,Balearic Islands,95
Carabanchel,Balearic Islands,105
Usera,Balearic Islands,45
Puente de Vallecas,Balearic Islands,74
Moratalaz,Balearic Islands,30
Ciudad Lineal,Balearic Islands,102
Hortaleza,Balearic Islands,95
Villaverde,Balearic Islands,29
Villa de Vallecas,Balearic Islands,31
Vicálvaro,Balearic Islands,17
San Blas-Canillejas,Balearic Islands,64
Barajas,Balearic Islands,17
Centro,Canary Islands,210
Arganzuela,Canary Islands,117
Retiro,Canary Islands,103
Salamanca,Canary Islands,113
Chamartín,Canary Islands,137
Tetuán,Canary Islands,138
Chamberí,Canary Islands,138
Fuencarral-El Pardo,Canary Islands,126
Moncloa-Aravaca,Canary Islands,110
Latina,Canary Islands,156
Carabanchel,Canary Islands,239
Usera,Canary Islands,93
Puente de Vallecas,Canary Islands,180
Moratalaz,Canary Islands,65
Ciudad Lineal,Canary Islands,211
Hortaleza,Canary Islands,177
Villaverde,Canary Islands,94
Villa de Vallecas,Canary Islands,87
Vicálvaro,Canary Islands,51
