date,cod_distrito,distrito,cod_barrio,barrio,Gender,Number
2018,1,Centro,1,Centro,hombres,66320
2018,1,Centro,1,Centro,mujeres,66032
2018,1,Centro,11,Palacio,hombres,10978
2018,1,Centro,11,Palacio,mujeres,11537
2018,1,Centro,12,Embajadores,hombres,23031
2018,1,Centro,12,Embajadores,mujeres,21599
2018,1,Centro,13,Cortes,hombres,5265
2018,1,Centro,13,Cortes,mujeres,5266
2018,1,Centro,14,Justicia,hombres,8334
2018,1,Centro,14,Justicia,mujeres,8244
2018,1,Centro,15,Universidad,hombres,15040
2018,1,Centro,15,Universidad,mujeres,15857
2018,1,Centro,16,Sol,hombres,3672
2018,1,Centro,16,Sol,mujeres,3529
2018,2,Arganzuela,2,Arganzuela,hombres,71039
2018,2,Arganzuela,2,Arganzuela,mujeres,81868
2018,2,Arganzuela,21,Imperial,hombres,10531
2018,2,Arganzuela,21,Imperial,mujeres,12188
2018,2,Arganzuela,22,Acacias,hombres,16926
2018,2,Arganzuela,22,Acacias,mujeres,19825
2018,2,Arganzuela,23,Chopera,hombres,8919
2018,2,Arganzuela,23,Chopera,mujeres,10880
2018,2,Arganzuela,24,Legazpi,hombres,9446
2018,2,Arganzuela,24,Legazpi,mujeres,9806
2018,2,Arganzuela,25,Delicias,hombres,12736
2018,2,Arganzuela,25,Delicias,mujeres,14737
2018,2,Arganzuela,26,PalosdeMoguer,hombres,11919
2018,2,Arganzuela,26,PalosdeMoguer,mujeres,13829
2018,2,Arganzuela,27,Atocha,hombres,562
2018,2,Arganzuela,27,Atocha,mujeres,603
2018,3,Retiro,3,Retiro,hombres,53863
2018,3,Retiro,3,Retiro,mujeres,65148
2018,3,Retiro,31,Pacífico,hombres,15000
2018,3,Retiro,31,Pacífico,mujeres,18601
2018,3,Retiro,32,Adelfas,hombres,8427
2018,3,Retiro,32,Adelfas,mujeres,9918
2018,3,Retiro,33,Estrella,hombres,10796
2018,3,Retiro,33,Estrella,mujeres,12442
