Year,Surname,Frecuency
2023,García,226798
2023,González,138253
2023,Sánchez,134723
2023,Fernández,133819
2023,Rodríguez,127456
2023,López,126755
2023,Martínez,102895
2023,Martín,102471
2023,Pérez,96891
2023,Gómez,81356
2023,Jiménez,65585
2023,Díaz,57253
2023,Hernández,55802
2023,Moreno,49774
2023,Muñoz,49220
2023,Ruiz,46159
2023,Álvarez,40688
2023,Alonso,35310
2023,Gutiérrez,32069
2023,Romero,29002
2023,Sanz,27282
2023,Torres,24566
2023,Serrano,23950
2023,Ramírez,23430
2023,Ramos,22430
2023,Gil,20030
2023,Domínguez,19740
2023,Blanco,19654
2023,Rubio,19085
2023,Ortega,17785
2023,Morales,17678
2023,Delgado,17525
2023,Castro,17489
2023,Navarro,17377
2023,Cruz,17356
2023,Ortiz,16819
2023,Santos,16604
2023,Castillo,16231
2023,Molina,15852
2023,Vázquez,15736
2023,Nuñez,14807
2023,Peña,13797
2023,Garrido,12734
2023,Prieto,12689
2023,Flores,12687
2023,Medina,12613
2023,Suárez,12382
2023,Lozano,12248
2023,Marín,12187
2023,Gallego,12113
2023,Montero,12068
2023,Esteban,11706
2023,Calvo,11694
2023,Nieto,11667
2023,Cano,11596
2023,Herrero,11553
2023,León,11219
2023,Bravo,11023
2023,Iglesias,10984
2023,Vega,10976
2023,Diez,10928
2023,Méndez,10909
2023,Herrera,10816
2023,Arias,10657
2023,Carrasco,10412
2023,Rojas,10166
2023,Benito,10042
2023,Reyes,9824
2023,Guerrero,9778
2023,Caballero,9639
2023,Vargas,9620
2023,Pascual,9492
2023,Velasco,9453
2023,Arroyo,9105
2023,Redondo,9094
2023,Blázquez,9067
2023,Vicente,8925
2023,Campos,8883
2023,Fuentes,8846
2023,Mora,8832
2023,Rivera,8717
2023,Silva,8566
2023,Hidalgo,8564
2023,Crespo,8449
2023,Miguel,8408
2023,Merino,8344
2023,Duran,8209
2023,Parra,7994
2023,Fuente,7867
2023,Izquierdo,7824
2023,Aguilar,7823
2023,Casado,7819
2023,Galán,7751
2023,Cortés,7729
2023,Mendoza,7633
2023,Márquez,7543
2023,Sierra,7542
2023,Plaza,7505
2023,Marcos,7443
